no,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,population,population_density,gdp_per_capita,extreme_poverty
1,Bangladesh,5/3/2021,763682,585,8416,8,1.21,13570,4054668,164689383,1265.036,3523.984,14.8
2,Bangladesh,5/4/2021,765596,515,8423,7,1.23,15325,4069993,164689383,1265.036,3523.984,14.8
3,Bangladesh,5/5/2021,767338,614,8428,5,1.26,16414,4086407,164689383,1265.036,3523.984,14.8
4,Bangladesh,5/6/2021,769160,619,8435,7,1.28,15985,4102392,164689383,1265.036,3523.984,14.8
5,Bangladesh,5/7/2021,770842,635,8441,6,1.31,13710,4116102,164689383,1265.036,3523.984,14.8
6,Bangladesh,5/8/2021,772127,540,8451,10,1.34,13082,4129184,164689383,1265.036,3523.984,14.8
7,Bangladesh,5/9/2021,773513,606,8462,11,1.38,14092,4143276,164689383,1265.036,3523.984,14.8
8,Bangladesh,5/10/2021,775027,845,8476,14,1.42,16958,4160234,164689383,1265.036,3523.984,14.8
9,Bangladesh,5/11/2021,776257,912,8489,13,1.46,17775,4178009,164689383,1265.036,3523.984,14.8
10,Bangladesh,5/12/2021,777397,1018,8496,7,1.49,17032,4195041,164689383,1265.036,3523.984,14.8
11,Bangladesh,5/13/2021,778687,1051,8502,6,1.51,18058,4213099,164689383,1265.036,3523.984,14.8
12,Bangladesh,5/14/2021,779535,1066,8515,13,1.54,16111,4229210,164689383,1265.036,3523.984,14.8
13,Bangladesh,5/15/2021,779796,1014,8527,12,1.57,16206,4245416,164689383,1265.036,3523.984,14.8
14,Bangladesh,5/16/2021,780159,1159,8545,18,1.61,16206,4261622,164689383,1265.036,3523.984,14.8
15,Bangladesh,5/17/2021,780857,1773,8571,26,1.64,18695,4280317,164689383,1265.036,3523.984,14.8
16,Bangladesh,5/18/2021,782129,1719,8597,26,1.64,20748,4301065,164689383,1265.036,3523.984,14.8
17,Bangladesh,5/19/2021,783737,1865,8608,11,1.64,24275,4325340,164689383,1265.036,3523.984,14.8
18,Bangladesh,5/20/2021,785194,2187,8624,16,1.63,20925,4346265,164689383,1265.036,3523.984,14.8
19,Bangladesh,5/21/2021,786698,1899,8642,18,1.61,18917,4365182,164689383,1265.036,3523.984,14.8
20,Bangladesh,5/22/2021,787726,1868,8668,26,1.61,19900,4385082,164689383,1265.036,3523.984,14.8
21,Bangladesh,5/23/2021,789080,2172,8690,22,1.62,21108,4406190,164689383,1265.036,3523.984,14.8
22,Bangladesh,5/24/2021,790521,2809,8720,30,1.64,25111,4431301,164689383,1265.036,3523.984,14.8
23,Bangladesh,5/25/2021,792196,3554,8738,18,1.67,25954,4457255,164689383,1265.036,3523.984,14.8
24,Bangladesh,5/26/2021,793693,3567,8763,25,1.65,27502,4484757,164689383,1265.036,3523.984,14.8
25,Bangladesh,5/27/2021,794985,3587,8797,34,1.62,27045,4511802,164689383,1265.036,3523.984,14.8
26,Bangladesh,5/28/2021,796343,3737,8830,33,1.6,27229,4539031,164689383,1265.036,3523.984,14.8
27,Bangladesh,5/29/2021,797386,3674,8869,39,1.59,27229,4566260,164689383,1265.036,3523.984,14.8
28,Bangladesh,5/30/2021,798830,3908,8904,35,1.57,22136,4588396,164689383,1265.036,3523.984,14.8
29,Bangladesh,5/31/2021,800540,5181,8949,45,1.56,28195,4616591,164689383,1265.036,3523.984,14.8
30,Bangladesh,6/1/2021,802305,5042,8994,45,1.54,26620,4643211,164689383,1265.036,3523.984,14.8
31,Bangladesh,6/2/2021,804293,5358,9046,52,1.54,26931,4670142,164689383,1265.036,3523.984,14.8
32,Bangladesh,6/3/2021,805980,6469,9105,59,1.55,28198,4698340,164689383,1265.036,3523.984,14.8
33,Bangladesh,6/4/2021,807867,6830,9155,50,1.53,29339,4727679,164689383,1265.036,3523.984,14.8
34,Bangladesh,6/5/2021,809314,5683,9213,58,1.49,24548,4752227,164689383,1265.036,3523.984,14.8
35,Bangladesh,6/6/2021,810990,7087,9266,53,1.44,30724,4782951,164689383,1265.036,3523.984,14.8
36,Bangladesh,6/7/2021,812960,7075,9318,52,1.37,30239,4813190,164689383,1265.036,3523.984,14.8
37,Bangladesh,6/8/2021,815282,7213,9384,66,1.31,34311,4847501,164689383,1265.036,3523.984,14.8
38,Bangladesh,6/9/2021,817819,7626,9447,63,1.26,34630,4882131,164689383,1265.036,3523.984,14.8
39,Bangladesh,6/10/2021,820395,6854,9521,74,1.2,33193,4915324,164689383,1265.036,3523.984,14.8
40,Bangladesh,6/11/2021,822849,7462,9584,63,1.16,31654,4946978,164689383,1265.036,3523.984,14.8
41,Bangladesh,6/12/2021,824486,5343,9661,77,1.1,26077,4973055,164689383,1265.036,3523.984,14.8
42,Bangladesh,6/13/2021,826922,5819,9739,78,1.04,29376,5002431,164689383,1265.036,3523.984,14.8
43,Bangladesh,6/14/2021,829972,7201,9822,83,0.99,34968,5037399,164689383,1265.036,3523.984,14.8
44,Bangladesh,6/15/2021,833291,6028,9891,69,0.92,32955,5070354,164689383,1265.036,3523.984,14.8
45,Bangladesh,6/16/2021,837247,5185,9987,96,0.86,24825,5095179,164689383,1265.036,3523.984,14.8
46,Bangladesh,6/17/2021,841087,4192,10081,94,0.82,19959,5115138,164689383,1265.036,3523.984,14.8
47,Bangladesh,6/18/2021,844970,4417,10182,101,0.8,18906,5134044,164689383,1265.036,3523.984,14.8
48,Bangladesh,6/19/2021,848027,3473,10283,101,0.8,16185,5150229,164689383,1265.036,3523.984,14.8
49,Bangladesh,6/20/2021,851668,3698,10385,102,0.79,19404,5169633,164689383,1265.036,3523.984,14.8
50,Bangladesh,6/21/2021,856304,4271,10497,112,0.79,24152,5193785,164689383,1265.036,3523.984,14.8
51,Bangladesh,6/22/2021,861150,4559,10588,91,0.79,27056,5220841,164689383,1265.036,3523.984,14.8
52,Bangladesh,6/23/2021,866877,4280,10683,95,0.79,28408,5249249,164689383,1265.036,3523.984,14.8
53,Bangladesh,6/24/2021,872935,4014,10781,98,0.79,27429,5276678,164689383,1265.036,3523.984,14.8
54,Bangladesh,6/25/2021,878804,3629,10869,88,0.77,25896,5302574,164689383,1265.036,3523.984,14.8
55,Bangladesh,6/26/2021,883138,2697,10952,83,0.76,20571,5323145,164689383,1265.036,3523.984,14.8
56,Bangladesh,6/27/2021,888406,2922,11053,101,0.74,21922,5345067,164689383,1265.036,3523.984,14.8
57,Bangladesh,6/28/2021,896770,3306,11150,97,0.72,25786,5370853,164689383,1265.036,3523.984,14.8
58,Bangladesh,6/29/2021,904436,3031,11228,78,0.69,24237,5395090,164689383,1265.036,3523.984,14.8
