no,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,population,population_density,gdp_per_capita,extreme_poverty,,
1,Bangladesh,3/3/2020,0,0,0,0,0,108,108,164689383,1265.036,3523.984,14.8,,
2,Bangladesh,3/4/2020,0,0,0,0,0,3,111,164689383,1265.036,3523.984,14.8,,
3,Bangladesh,3/5/2020,0,0,0,0,0,0,0,164689383,1265.036,3523.984,14.8,,
4,Bangladesh,3/6/2020,0,0,0,0,0,9,120,164689383,1265.036,3523.984,14.8,,
5,Bangladesh,3/7/2020,0,0,0,0,0,7,127,164689383,1265.036,3523.984,14.8,,
6,Bangladesh,3/8/2020,3,3,0,0,0,10,137,164689383,1265.036,3523.984,14.8,,
7,Bangladesh,3/9/2020,3,0,0,0,0,10,147,164689383,1265.036,3523.984,14.8,,
8,Bangladesh,3/10/2020,3,0,0,0,0,16,163,164689383,1265.036,3523.984,14.8,,
9,Bangladesh,3/11/2020,3,0,0,0,0,24,187,164689383,1265.036,3523.984,14.8,,
10,Bangladesh,3/12/2020,3,0,0,0,0,24,211,164689383,1265.036,3523.984,14.8,,
11,Bangladesh,3/13/2020,3,0,0,0,0,30,241,164689383,1265.036,3523.984,14.8,,
12,Bangladesh,3/14/2020,3,0,0,0,0,27,268,164689383,1265.036,3523.984,14.8,,
13,Bangladesh,3/15/2020,5,2,0,0,0,25,293,164689383,1265.036,3523.984,14.8,,
14,Bangladesh,3/16/2020,8,3,0,0,0,49,342,164689383,1265.036,3523.984,14.8,,
15,Bangladesh,3/17/2020,10,2,0,0,0,39,381,164689383,1265.036,3523.984,14.8,,
16,Bangladesh,3/18/2020,14,4,1,1,0,46,427,164689383,1265.036,3523.984,14.8,,
17,Bangladesh,3/19/2020,17,3,1,0,0,36,463,164689383,1265.036,3523.984,14.8,,
18,Bangladesh,3/20/2020,20,3,1,0,0,36,499,164689383,1265.036,3523.984,14.8,,
19,Bangladesh,3/21/2020,25,5,2,1,0,65,564,164689383,1265.036,3523.984,14.8,,
20,Bangladesh,3/22/2020,27,2,2,0,0,56,620,164689383,1265.036,3523.984,14.8,,
21,Bangladesh,3/23/2020,33,6,3,1,0,92,712,164689383,1265.036,3523.984,14.8,,
22,Bangladesh,3/24/2020,39,6,4,1,0,82,794,164689383,1265.036,3523.984,14.8,,
23,Bangladesh,3/25/2020,39,0,5,1,0,126,920,164689383,1265.036,3523.984,14.8,,
24,Bangladesh,3/26/2020,44,5,5,0,0,106,1026,164689383,1265.036,3523.984,14.8,,
25,Bangladesh,3/27/2020,48,4,5,0,0,50,1076,164689383,1265.036,3523.984,14.8,,
26,Bangladesh,3/28/2020,48,0,5,0,0,109,1185,164689383,1265.036,3523.984,14.8,,
27,Bangladesh,3/29/2020,48,0,5,0,0,153,1338,164689383,1265.036,3523.984,14.8,,
28,Bangladesh,3/30/2020,49,1,5,0,0,264,1602,164689383,1265.036,3523.984,14.8,,
29,Bangladesh,3/31/2020,51,2,5,0,0,157,1759,164689383,1265.036,3523.984,14.8,,
30,Bangladesh,4/1/2020,54,3,6,1,0,147,1906,164689383,1265.036,3523.984,14.8,,
31,Bangladesh,4/2/2020,56,2,6,0,0,207,2113,164689383,1265.036,3523.984,14.8,,
32,Bangladesh,4/3/2020,61,5,6,0,0,434,2547,164689383,1265.036,3523.984,14.8,,
33,Bangladesh,4/4/2020,70,9,8,2,0,367,2914,164689383,1265.036,3523.984,14.8,,
34,Bangladesh,4/5/2020,88,18,9,1,0,696,3610,164689383,1265.036,3523.984,14.8,,
35,Bangladesh,4/6/2020,123,35,12,3,0,792,4402,164689383,1265.036,3523.984,14.8,,
36,Bangladesh,4/7/2020,164,41,17,5,2.73,981,5383,164689383,1265.036,3523.984,14.8,,
37,Bangladesh,4/8/2020,218,54,20,3,2.77,1097,6480,164689383,1265.036,3523.984,14.8,,
38,Bangladesh,4/9/2020,330,112,21,1,2.79,1184,7664,164689383,1265.036,3523.984,14.8,,
39,Bangladesh,4/10/2020,424,94,27,6,2.71,649,8313,164689383,1265.036,3523.984,14.8,,
40,Bangladesh,4/11/2020,482,58,30,3,2.62,1340,9653,164689383,1265.036,3523.984,14.8,,
41,Bangladesh,4/12/2020,621,139,34,4,2.6,1570,11223,164689383,1265.036,3523.984,14.8,,
42,Bangladesh,4/13/2020,803,182,39,5,2.56,1905,13128,164689383,1265.036,3523.984,14.8,,
43,Bangladesh,4/14/2020,1012,209,46,7,2.51,1740,14868,164689383,1265.036,3523.984,14.8,,
44,Bangladesh,4/15/2020,1231,219,50,4,2.41,2135,17003,164689383,1265.036,3523.984,14.8,,
45,Bangladesh,4/16/2020,1572,341,60,10,2.3,2190,19193,164689383,1265.036,3523.984,14.8,,
46,Bangladesh,4/17/2020,1838,266,75,15,2.2,2114,21307,164689383,1265.036,3523.984,14.8,,
47,Bangladesh,4/18/2020,2144,306,84,9,2.12,2634,23941,164689383,1265.036,3523.984,14.8,,
48,Bangladesh,4/19/2020,2456,312,91,7,1.99,2663,26604,164689383,1265.036,3523.984,14.8,,
49,Bangladesh,4/20/2020,2948,492,101,10,1.89,2974,29578,164689383,1265.036,3523.984,14.8,,
50,Bangladesh,4/21/2020,3382,434,110,9,1.75,3096,32674,164689383,1265.036,3523.984,14.8,,
51,Bangladesh,4/22/2020,3772,390,120,10,1.62,3416,36090,164689383,1265.036,3523.984,14.8,,
52,Bangladesh,4/23/2020,4186,414,127,7,1.53,3686,39776,164689383,1265.036,3523.984,14.8,,
53,Bangladesh,4/24/2020,4689,503,131,4,1.5,3337,43113,164689383,1265.036,3523.984,14.8,,
54,Bangladesh,4/25/2020,4998,309,140,9,1.44,3476,46589,164689383,1265.036,3523.984,14.8,,
55,Bangladesh,4/26/2020,5416,418,145,5,1.4,3812,50401,164689383,1265.036,3523.984,14.8,,
56,Bangladesh,4/27/2020,5913,497,152,7,1.38,4332,54733,164689383,1265.036,3523.984,14.8,,
57,Bangladesh,4/28/2020,6462,549,155,3,1.39,4968,59701,164689383,1265.036,3523.984,14.8,,
58,Bangladesh,4/29/2020,7103,641,163,8,1.4,4965,64666,164689383,1265.036,3523.984,14.8,,
59,Bangladesh,4/30/2020,7667,564,168,5,1.37,5573,70239,164689383,1265.036,3523.984,14.8,,
60,Bangladesh,5/1/2020,8238,571,170,2,1.37,5827,76066,164689383,1265.036,3523.984,14.8,,
61,Bangladesh,5/2/2020,8790,552,175,5,1.38,5368,81434,164689383,1265.036,3523.984,14.8,,
62,Bangladesh,5/3/2020,9455,665,177,2,1.36,6260,87694,164689383,1265.036,3523.984,14.8,,
63,Bangladesh,5/4/2020,10143,688,182,5,1.33,5711,93405,164689383,1265.036,3523.984,14.8,,
64,Bangladesh,5/5/2020,10929,786,183,1,1.32,0,0,164689383,1265.036,3523.984,14.8,,
65,Bangladesh,5/6/2020,11719,790,186,3,1.3,6241,99646,164689383,1265.036,3523.984,14.8,,
66,Bangladesh,5/7/2020,12425,706,199,13,1.28,5867,105513,164689383,1265.036,3523.984,14.8,,
67,Bangladesh,5/8/2020,13134,709,206,7,1.28,5941,111454,164689383,1265.036,3523.984,14.8,,
68,Bangladesh,5/9/2020,13770,636,214,8,1.31,5465,116919,164689383,1265.036,3523.984,14.8,,
69,Bangladesh,5/10/2020,14657,887,228,14,1.34,5738,122657,164689383,1265.036,3523.984,14.8,,
70,Bangladesh,5/11/2020,15691,1034,239,11,1.36,7208,129865,164689383,1265.036,3523.984,14.8,,
71,Bangladesh,5/12/2020,16660,969,250,11,1.36,6773,136638,164689383,1265.036,3523.984,14.8,,
72,Bangladesh,5/13/2020,17822,1162,269,19,1.37,7900,144538,164689383,1265.036,3523.984,14.8,,
73,Bangladesh,5/14/2020,18863,1041,283,14,1.36,7392,151930,164689383,1265.036,3523.984,14.8,,
74,Bangladesh,5/15/2020,20065,1202,298,15,1.36,8582,160512,164689383,1265.036,3523.984,14.8,,
75,Bangladesh,5/16/2020,20995,930,314,16,1.36,6782,167294,164689383,1265.036,3523.984,14.8,,
76,Bangladesh,5/17/2020,22268,1273,328,14,1.38,8114,175408,164689383,1265.036,3523.984,14.8,,
77,Bangladesh,5/18/2020,23870,1602,349,21,1.39,9788,185196,164689383,1265.036,3523.984,14.8,,
78,Bangladesh,5/19/2020,25121,1251,370,21,1.39,8449,193645,164689383,1265.036,3523.984,14.8,,
79,Bangladesh,5/20/2020,26738,1617,386,16,1.39,10260,203905,164689383,1265.036,3523.984,14.8,,
80,Bangladesh,5/21/2020,28511,1773,408,22,1.39,10262,214167,164689383,1265.036,3523.984,14.8,,
81,Bangladesh,5/22/2020,30205,1694,432,24,1.37,9727,223894,164689383,1265.036,3523.984,14.8,,
82,Bangladesh,5/23/2020,32078,1873,452,20,1.35,10834,234728,164689383,1265.036,3523.984,14.8,,
83,Bangladesh,5/24/2020,33610,1532,480,28,1.28,8908,243636,164689383,1265.036,3523.984,14.8,,
84,Bangladesh,5/25/2020,35585,1975,501,21,1.23,9451,253087,164689383,1265.036,3523.984,14.8,,
85,Bangladesh,5/26/2020,36751,1166,522,21,1.19,5407,258494,164689383,1265.036,3523.984,14.8,,
86,Bangladesh,5/27/2020,38292,1541,544,22,1.22,8015,266509,164689383,1265.036,3523.984,14.8,,
87,Bangladesh,5/28/2020,40321,2029,559,15,1.28,9310,275819,164689383,1265.036,3523.984,14.8,,
88,Bangladesh,5/29/2020,42844,2523,582,23,1.33,11301,287120,164689383,1265.036,3523.984,14.8,,
89,Bangladesh,5/30/2020,44608,1764,610,28,1.33,9997,297117,164689383,1265.036,3523.984,14.8,,
90,Bangladesh,5/31/2020,47153,2545,650,40,1.35,11876,308993,164689383,1265.036,3523.984,14.8,,
91,Bangladesh,6/1/2020,49534,2381,672,22,1.34,11339,320332,164689383,1265.036,3523.984,14.8,,
92,Bangladesh,6/2/2020,52445,2911,709,37,1.34,12704,333036,164689383,1265.036,3523.984,14.8,,
93,Bangladesh,6/3/2020,55140,2695,746,37,1.3,12510,345546,164689383,1265.036,3523.984,14.8,,
94,Bangladesh,6/4/2020,57563,2423,781,35,1.26,12694,358240,164689383,1265.036,3523.984,14.8,,
